,ticket_nmbr,STATUS,assigned_group,PARENT_SERVICE,service,CHANGE_DATE,TIME_IN_STATUS_BY_OWNER_HRS
4341,IN10029695,AWAITCHG,EDC00006,Mobile Devices,Mobile - Enterprise Mobile Device Management (EMDM),10APR2017:16:02:50,54
33948,IN10036581,AWAITCHG,NW000403,Intra-building Network Services,IBN - GC LAN,29DEC2016:17:44:20,1005
38076,IN10037457,AWAITCHG,ITS00326,Other Activities,Other - Security,13DEC2016:13:21:36,255
44851,IN10038958,AWAITCHG,NW000403,Intra-building Network Services,IBN - GC LAN,13MAR2017:17:03:42,159
47823,IN10039602,AWAITCHG,DC000115,Midrange,Midrange - Windows -X86,18JAN2017:13:06:49,1934
47824,IN10039602,AWAITCHG,DC000202,Midrange,Midrange - Windows -X86,15SEP2017:09:02:13,269
47832,IN10039603,AWAITCHG,DC000115,Midrange,Midrange - Windows -X86,18JAN2017:13:04:39,297
47885,IN10039612,AWAITCHG,DC000115,Midrange,Midrange - Windows -X86,18JAN2017:13:05:50,1487
47888,IN10039612,AWAITCHG,DC000202,Midrange,Midrange - Windows -X86,25OCT2017:08:28:25,0
62116,IN10042919,AWAITCHG,EDC00098,Other Activities,Other - Security,21DEC2016:11:18:01,388
65412,IN10043670,AWAITCHG,DC000109,Data Centre Facilities Management,Data Centre Facilities Management,05DEC2016:13:10:30,837
65537,IN10043696,AWAITCHG,NW000400,Intra-building Network Services,IBN - Data Centre Network,21DEC2016:08:51:25,120
66999,IN10044025,AWAITCHG,NW000405,Intra-building Network Services,IBN - GC LAN,01AUG2017:09:23:26,260
67007,IN10044027,AWAITCHG,DC000129,High-performance Computing,High-performance Computing,12DEC2016:15:56:11,55
67207,IN10044069,AWAITCHG,NW000423,GC WAN,GC WAN International,05JAN2017:12:01:48,591
67208,IN10044069,AWAITCHG,AP000001,Other Activities,Other - Internal Services & Strategy,05JAN2017:12:02:39,91
67673,IN10044175,AWAITCHG,EDC00056,Data Centre Facilities Management,Facilities - Data Centre Facilities Power & Space,06FEB2017:08:18:23,0
68548,IN10044371,AWAITCHG,DC000130,High-performance Computing,HPC - Interaction & Visualization,19DEC2016:07:27:02,82
68835,IN10044441,AWAITCHG,DC000130,High-performance Computing,HPC - Interaction & Visualization,13DEC2016:11:58:34,11
68840,IN10044442,AWAITCHG,DC000130,High-performance Computing,HPC - Interaction & Visualization,12DEC2016:11:12:32,0
68842,IN10044442,AWAITCHG,DC000128,High-performance Computing,High-performance Computing,16DEC2016:13:27:35,533
68904,IN10044462,AWAITCHG,NW000405,Intra-building Network Services,IBN - GC LAN,12DEC2016:08:21:05,32
68978,IN10044477,AWAITCHG,ITS00306,Other Activities,Other - Security,21DEC2016:08:07:07,145
69106,IN10044503,AWAITCHG,DC000128,High-performance Computing,High-performance Computing,12DEC2016:16:48:19,0
69206,IN10044527,AWAITCHG,DC000130,High-performance Computing,HPC - Interaction & Visualization,20DEC2016:14:46:09,168
69438,IN10044580,AWAITCHG,DC000128,High-performance Computing,High-performance Computing,14DEC2016:03:34:28,3
69587,IN10044615,AWAITCHG,SM000501,Other Activities,Other - Service Management,23JAN2017:10:30:41,428
69787,IN10044666,AWAITCHG,EDC00001,Midrange,Midrange - Storage and Virtualization,06JAN2017:15:16:57,61
70039,IN10044717,AWAITCHG,NW000405,Intra-building Network Services,IBN - GC LAN,01AUG2017:09:22:59,260
