,ticket_nmbr,STATUS,assigned_group,PARENT_SERVICE,service,CHANGE_DATE,TIME_IN_STATUS_BY_OWNER_HRS
7387,IN10030412,AWAITCUS,NW000412,Fixed Line,Fixed Line,11JAN2017:12:48:35,67
9422,IN10030866,AWAITCUS,ESI00011,Other Activities,Other - Service Management,19DEC2016:12:49:42,60
9478,IN10030877,AWAITCUS,DC000141,Middleware,Middleware,05APR2017:07:39:16,75
15697,IN10032306,AWAITCUS,ESI00019,Other Activities,Other - Service Management,07FEB2017:15:37:17,875
15698,IN10032306,AWAITCUS,ESI00054,Other Activities,Other - Service Management,28FEB2017:11:13:42,729
16836,IN10032555,AWAITCUS,ESI00028,Other Activities,Other - Security,30DEC2016:13:31:00,4
19188,IN10033099,AWAITCUS,ESI00011,Other Activities,Other - Service Management,20JAN2017:12:56:55,8
26453,IN10034791,AWAITCUS,ESI00028,Other Activities,Other - Security,04JAN2017:06:21:16,13
33964,IN10036584,AWAITCUS,ITS00306,Other Activities,Other - Security,10MAY2017:10:27:42,519
44853,IN10038958,AWAITCUS,NW000403,Intra-building Network Services,IBN - GC LAN,11APR2017:12:30:06,120
45578,IN10039110,AWAITCUS,NW000405,Intra-building Network Services,IBN - GC LAN,12JAN2017:09:28:47,361
45857,IN10039170,AWAITCUS,DC000117,Storage,Storage,26JAN2017:10:35:40,534
47554,IN10039543,AWAITCUS,NW000417,GC WAN,GC WAN,24JAN2017:14:49:40,0
47834,IN10039603,AWAITCUS,DC000115,Midrange,Midrange - Windows -X86,23AUG2017:11:02:12,0
47886,IN10039612,AWAITCUS,DC000115,Midrange,Midrange - Windows -X86,21AUG2017:10:34:23,447
47887,IN10039612,AWAITCUS,DC000202,Midrange,Midrange - Windows -X86,15SEP2017:08:58:16,269
50693,IN10040263,AWAITCUS,DC000132,High-performance Computing,High-performance Computing,09AUG2017:07:43:42,88
53014,IN10040772,AWAITCUS,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,01SEP2017:11:28:12,269
56618,IN10041648,AWAITCUS,DC000127,High-performance Computing,HPC -Big Data Exchange,03AUG2017:12:59:15,0
56692,IN10041661,AWAITCUS,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,07SEP2017:09:00:46,241
58426,IN10042080,AWAITCUS,ENT00009,Mobile Devices,Mobile Devices,19JAN2017:13:02:03,37
58577,IN10042111,AWAITCUS,NW000403,Intra-building Network Services,IBN - GC LAN,12DEC2016:14:51:21,0
59145,IN10042237,AWAITCUS,ESI00011,Other Activities,Other - Service Management,07JAN2017:08:30:33,275
59414,IN10042299,AWAITCUS,ESI00011,Other Activities,Other - Service Management,02MAR2017:11:09:51,622
59415,IN10042299,AWAITCUS,NW000419,Satellite,Satellite,03APR2017:12:52:19,400
59758,IN10042374,AWAITCUS,EDC00009,Midrange,Midrange,09JAN2017:13:29:10,0
60989,IN10042666,AWAITCUS,ESI00011,Other Activities,Other - Service Management,04JAN2017:08:18:55,92
61279,IN10042731,AWAITCUS,NW000452,Intra-building Network Services,IBN - GC LAN,09DEC2016:14:58:02,2
61406,IN10042761,AWAITCUS,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,04JAN2017:22:18:18,59
61910,IN10042877,AWAITCUS,NW000405,Intra-building Network Services,IBN - GC LAN,16JAN2017:15:02:20,68
61966,IN10042886,AWAITCUS,ITS00325,Government of Canada Managed Security Service,Government of Canada Managed Security Service,24APR2017:09:31:11,8
62117,IN10042919,AWAITCUS,EDC00098,Other Activities,Other - Security,17FEB2017:09:27:53,118
62362,IN10042976,AWAITCUS,DC000130,High-performance Computing,HPC - Interaction & Visualization,18JAN2017:13:33:28,55
62801,IN10043077,AWAITCUS,DC000119,Other Activities,Other - Data Centre,07DEC2016:12:20:12,36
63046,IN10043143,AWAITCUS,DC000119,Other Activities,Other - Data Centre,06DEC2016:08:43:48,49
63063,IN10043145,AWAITCUS,ESI00011,Other Activities,Other - Service Management,05JAN2017:08:30:21,52
63104,IN10043153,AWAITCUS,NW000412,Fixed Line,Fixed Line,07FEB2017:10:07:42,948
63105,IN10043153,AWAITCUS,NW000439,Fixed Line,Fixed - VoIP,08FEB2017:11:01:08,1160
63106,IN10043153,AWAITCUS,ESI00011,Other Activities,Other - Service Management,08MAY2017:15:44:57,2
