,ticket_nmbr,STATUS,assigned_group,PARENT_SERVICE,service,CHANGE_DATE,TIME_IN_STATUS_BY_OWNER_HRS
16492,IN10032484,AWAITVEN,ESI00011,Other Activities,Other - Service Management,21DEC2016:12:06:25,11
16493,IN10032484,AWAITVEN,ITS00325,Government of Canada Managed Security Service,Government of Canada Managed Security Service,21DEC2016:13:44:41,0
33947,IN10036581,AWAITVEN,NW000403,Intra-building Network Services,IBN - GC LAN,15DEC2016:18:58:30,104
34869,IN10036783,AWAITVEN,ESI00012,Other Activities,Other - Service Management,06FEB2017:09:37:01,4
44852,IN10038958,AWAITVEN,NW000403,Intra-building Network Services,IBN - GC LAN,04APR2017:17:23:39,20
46142,IN10039230,AWAITVEN,NW000417,GC WAN,GC WAN,01AUG2017:12:45:12,378
46752,IN10039367,AWAITVEN,NW000440,Fixed Line,Fixed - PBX,10FEB2017:03:05:03,170
47833,IN10039603,AWAITVEN,DC000115,Midrange,Midrange - Windows -X86,23AUG2017:11:02:03,0
53409,IN10040889,AWAITVEN,NW000431,GC WAN,GC WAN,11JAN2017:11:07:07,404
56617,IN10041648,AWAITVEN,DC000127,High-performance Computing,HPC -Big Data Exchange,05FEB2017:18:37:00,3063
57779,IN10041936,AWAITVEN,NW000440,Fixed Line,Fixed - PBX,29DEC2016:09:59:11,429
59376,IN10042292,AWAITVEN,NW000417,GC WAN,GC WAN,10JAN2017:15:27:42,385
59579,IN10042337,AWAITVEN,ESI00028,Other Activities,Other - Security,04JAN2017:19:53:33,0
59676,IN10042357,AWAITVEN,EDC00098,Other Activities,Other - Security,04JAN2017:20:50:09,394
60793,IN10042627,AWAITVEN,NW000453,Intra-building Network Services,IBN - GC LAN,16DEC2016:07:49:35,306
61964,IN10042886,AWAITVEN,ITS00325,Government of Canada Managed Security Service,Government of Canada Managed Security Service,05APR2017:14:14:30,0
62525,IN10043013,AWAITVEN,NW000440,Fixed Line,Fixed - PBX,14DEC2016:08:08:17,162
63117,IN10043153,AWAITVEN,NW000440,Fixed Line,Fixed - PBX,26JUN2017:10:26:10,10
65536,IN10043696,AWAITVEN,NW000400,Intra-building Network Services,IBN - Data Centre Network,14DEC2016:08:36:14,50
