,ticket_nmbr,STATUS,assigned_group,PARENT_SERVICE,service,CHANGE_DATE,TIME_IN_STATUS_BY_OWNER_HRS
1904,IN10029155,HISTEDIT,EDC00066,Other Activities,Other - Service Management,14APR2016:09:46:19,1260
8132,IN10030587,HISTEDIT,ESI00011,Other Activities,Other - Service Management,08DEC2016:12:29:58,9
9153,IN10030810,HISTEDIT,ESI00012,Other Activities,Other - Service Management,03MAY2016:08:12:27,502
12655,IN10031582,HISTEDIT,ESI00012,Other Activities,Other - Service Management,12MAY2016:14:02:14,426
16186,IN10032415,HISTEDIT,0,0,0,25MAY2016:21:49:46,0
25798,IN10034627,HISTEDIT,DC000163,Other Activities,Other - Service Management,05JUL2016:10:58:18,0
34507,IN10036706,HISTEDIT,NW000433,GC WAN,GC WAN,08AUG2016:14:15:22,10
36113,IN10037041,HISTEDIT,ESI00011,Other Activities,Other - Service Management,28NOV2016:10:30:52,158
38095,IN10037460,HISTEDIT,NW000412,Fixed Line,Fixed Line,19AUG2016:10:15:32,0
39408,IN10037747,HISTEDIT,EU000206,Other Activities,Other - Service Management,25AUG2016:09:47:28,4
42580,IN10038469,HISTEDIT,EDC00029,Other Activities,Other - Service Management,07SEP2016:14:51:41,0
43464,IN10038660,HISTEDIT,DC000115,Midrange,Midrange - Windows -X86,14SEP2016:11:03:03,0
46281,IN10039262,HISTEDIT,ENT00005,Mobile Devices,Mobile - Voice & Data,10JAN2018:07:56:01,0
47857,IN10039607,HISTEDIT,DC000115,Midrange,Midrange - Windows -X86,26SEP2016:12:50:03,14
49298,IN10039930,HISTEDIT,DC000127,High-performance Computing,HPC -Big Data Exchange,30SEP2016:08:51:50,6
56320,IN10041594,HISTEDIT,SM000542,Other Activities,Other - Service Management,31OCT2016:08:28:55,0
58328,IN10042058,HISTEDIT,ESI00011,Other Activities,Other - Service Management,07NOV2016:13:50:58,0
66557,IN10043932,HISTEDIT,ITS00325,Government of Canada Managed Security Service,Government of Canada Managed Security Service,07DEC2016:13:30:14,0
70064,IN10044720,HISTEDIT,EU000202,Distributed Print,Distributed Print,16DEC2016:13:41:17,0
72518,IN10045371,HISTEDIT,EDC00002,Midrange,Midrange - Windows -X86,28DEC2016:05:49:44,4
86673,IN10049037,HISTEDIT,NW000464,Email,Email,07APR2017:11:05:29,5
95270,IN10051028,HISTEDIT,ITS00325,Government of Canada Managed Security Service,Government of Canada Managed Security Service,26MAR2017:11:47:33,0
100027,IN10052117,HISTEDIT,DC000115,Midrange,Midrange - Windows -X86,13APR2017:06:45:50,0
121658,IN10057313,HISTEDIT,DC000115,Midrange,Midrange - Windows -X86,15SEP2017:09:44:16,2
124650,IN10058033,HISTEDIT,AP000009,Other Activities,Other - Internal Services & Strategy,21JUL2017:22:58:05,0
130560,IN10059418,HISTEDIT,ESI00011,Other Activities,Other - Service Management,14JUL2017:12:58:24,0
141687,IN10061980,HISTEDIT,DC000110,Data Centre Facilities Management,Data Centre Facilities Management,16AUG2017:13:49:21,125
146309,IN10063015,HISTEDIT,ESI00011,Other Activities,Other - Service Management,30AUG2017:13:44:08,0
146819,IN10063124,HISTEDIT,DC000127,High-performance Computing,HPC -Big Data Exchange,08SEP2017:09:42:43,0
148828,IN10063585,HISTEDIT,ITS00309,Secure Remote Access,Secure Remote Access,07SEP2017:10:02:34,1
158747,IN10065846,HISTEDIT,DC000202,Midrange,Midrange - Windows -X86,03OCT2017:08:41:30,0
164413,IN10067156,HISTEDIT,NW000417,GC WAN,GC WAN,06NOV2017:20:16:56,0
171256,IN10068715,HISTEDIT,NW000459,GC WAN,GC WAN,02NOV2017:15:00:20,119
182547,IN10071268,HISTEDIT,DC000156,Midrange,Midrange - Windows -X86,11DEC2017:08:49:30,0
182990,IN10071375,HISTEDIT,NW000430,Intra-building Network Services,IBN - Data Centre Network,11DEC2017:08:56:29,0
197457,IN10074695,HISTEDIT,ITS00308,Other Activities,Other - Security,02FEB2018:13:54:12,0
199903,IN10075277,HISTEDIT,ESI00011,Other Activities,Other - Service Management,26JAN2018:08:25:44,68
199938,IN10075284,HISTEDIT,ESI00028,Other Activities,Other - Security,18JAN2018:11:20:40,9
214398,IN10078682,HISTEDIT,DC000133,High-performance Computing,High-performance Computing,20FEB2018:12:00:07,0
226722,IN10081512,HISTEDIT,EDC00006,Mobile Devices,Mobile - Enterprise Mobile Device Management (EMDM),29MAR2018:10:26:56,0
227698,IN10081761,HISTEDIT,ESI00011,Other Activities,Other - Service Management,07APR2018:12:07:45,0
232674,IN10082940,HISTEDIT,NW000430,Intra-building Network Services,IBN - Data Centre Network,09APR2018:08:29:42,0
257866,IN10088842,HISTEDIT,NW000459,GC WAN,GC WAN,21MAY2018:20:20:48,0
264404,IN10090412,HISTEDIT,DC000152,Middleware,Middleware,11JUL2018:11:42:43,0
271754,IN10092131,HISTEDIT,DC000151,Mainframe,Mainframe,27JUN2018:08:52:23,0
272885,IN10092405,HISTEDIT,DC000113,Midrange,Midrange,09JUL2018:15:54:28,0
273213,IN10092477,HISTEDIT,DC000152,Middleware,Middleware,09JUL2018:15:56:13,0
291738,IN10096757,HISTEDIT,DC000203,Midrange,Midrange - Windows -X86,31JUL2018:08:37:56,0
296161,IN10097756,HISTEDIT,ITS00322,Directory Services,Directory Services,09AUG2018:08:14:41,0
302684,IN10099274,HISTEDIT,NW000400,Intra-building Network Services,IBN - Data Centre Network,22AUG2018:08:11:06,0
326504,IN10104775,HISTEDIT,SM000557,Other Activities,Other - Service Management,06NOV2018:07:49:08,0
335239,IN10107092,HISTEDIT,NW000414,Contact Centre,Contact Centre,24OCT2018:08:15:12,0
339873,IN10108234,HISTEDIT,NW000414,Contact Centre,Contact Centre,29OCT2018:09:03:15,0
362412,IN10113821,HISTEDIT,DC000195,Middleware,Middleware,03OCT2019:11:30:31,0
362691,IN10113885,HISTEDIT,SM000501,Other Activities,Other - Service Management,09SEP2019:13:31:10,0
368362,IN10115150,HISTEDIT,DC000221,Middleware,Middleware,27DEC2018:10:50:14,0
377922,IN10117475,HISTEDIT,EDC00029,Other Activities,Other - Service Management,23DEC2018:15:57:21,0
379361,IN10117841,HISTEDIT,EDC00029,Other Activities,Other - Service Management,19DEC2018:08:14:40,6
379615,IN10117905,HISTEDIT,NW000414,Contact Centre,Contact Centre,22JAN2019:11:33:16,0
383404,IN10118753,HISTEDIT,NW000440,Fixed Line,Fixed - PBX,14JAN2019:09:30:46,0
388659,IN10121103,HISTEDIT,EDC00029,Other Activities,Other - Service Management,10JAN2019:02:31:06,0
392967,IN10122117,HISTEDIT,EDC00029,Other Activities,Other - Service Management,16JAN2019:12:54:50,0
394710,IN10122495,HISTEDIT,EDC00029,Other Activities,Other - Service Management,18JAN2019:18:57:41,0
396492,IN10122894,HISTEDIT,NW000423,GC WAN,GC WAN International,19FEB2019:10:58:08,0
412393,IN10126829,HISTEDIT,0,0,0,13FEB2019:10:55:51,0
418598,IN10128537,HISTEDIT,EDC00029,Other Activities,Other - Service Management,24FEB2019:02:29:22,0
425616,IN10130166,HISTEDIT,ESI00011,Other Activities,Other - Service Management,15APR2019:10:56:51,0
437671,IN10133342,HISTEDIT,EDC00029,Other Activities,Other - Service Management,24MAR2019:20:28:21,0
438766,IN10133591,HISTEDIT,ITS00344,Firewall,Firewall,12APR2019:09:53:17,0
441509,IN10134228,HISTEDIT,NW000429,Email,Email,23APR2020:10:20:28,0
452771,IN10137062,HISTEDIT,EDC00029,Other Activities,Other - Service Management,16APR2019:14:23:16,0
455509,IN10137775,HISTEDIT,ESI00011,Other Activities,Other - Service Management,02MAY2019:14:50:31,0
458851,IN10138609,HISTEDIT,ITS00358,Secure Remote Access,Secure Remote Access,16MAY2019:12:21:54,0
463675,IN10139734,HISTEDIT,EDC00029,Other Activities,Other - Service Management,04MAY2019:11:50:28,1
464474,IN10139915,HISTEDIT,EDC00029,Other Activities,Other - Service Management,29AUG2019:17:03:01,0
466590,IN10140425,HISTEDIT,EDC00029,Other Activities,Other - Service Management,09MAY2019:18:11:24,0
