,ticket_nmbr,STATUS,assigned_group,PARENT_SERVICE,service,CHANGE_DATE,TIME_IN_STATUS_BY_OWNER_HRS
80,IN10028643,PENDING,0,0,0,01APR2016:09:35:15,0
82,IN10028643,PENDING,DC000133,High-performance Computing,High-performance Computing,01APR2016:09:36:29,42
122,IN10028655,PENDING,NW000431,GC WAN,GC WAN,01APR2016:13:57:28,0
265,IN10028694,PENDING,DC000132,High-performance Computing,High-performance Computing,01APR2016:18:29:17,6
277,IN10028697,PENDING,DC000133,High-performance Computing,High-performance Computing,01APR2016:18:45:22,12
396,IN10028731,PENDING,DC000132,High-performance Computing,High-performance Computing,02APR2016:07:47:40,6
407,IN10028733,PENDING,DC000163,Other Activities,Other - Service Management,02APR2016:10:16:06,0
639,IN10028799,PENDING,NW000431,GC WAN,GC WAN,04APR2016:08:26:39,40
640,IN10028799,PENDING,NW000405,Intra-building Network Services,IBN - GC LAN,04APR2016:08:28:25,40
801,IN10028848,PENDING,NW000427,Email,Email,08APR2016:14:39:29,0
844,IN10028858,PENDING,NW000439,Fixed Line,Fixed - VoIP,05MAY2016:11:02:23,503
857,IN10028860,PENDING,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,05APR2016:12:52:11,20
950,IN10028884,PENDING,EDC00021,Middleware,Middleware,08APR2016:17:18:16,0
1058,IN10028911,PENDING,DC000130,High-performance Computing,HPC - Interaction & Visualization,05APR2016:13:09:02,0
1115,IN10028924,PENDING,NW000405,Intra-building Network Services,IBN - GC LAN,06APR2016:08:11:24,72
1179,IN10028938,PENDING,NW000431,GC WAN,GC WAN,05APR2016:20:07:44,0
1235,IN10028956,PENDING,NW000431,GC WAN,GC WAN,06APR2016:07:04:29,21
1334,IN10028986,PENDING,NW000431,GC WAN,GC WAN,07APR2016:07:37:00,5
1410,IN10029001,PENDING,DC000114,Midrange,Midrange,08APR2016:08:22:02,0
1446,IN10029010,PENDING,NW000431,GC WAN,GC WAN,07APR2016:07:38:52,9
1475,IN10029018,PENDING,NW000403,Intra-building Network Services,IBN - GC LAN,08NOV2016:15:19:06,17
1505,IN10029023,PENDING,NW000431,GC WAN,GC WAN,07NOV2016:13:28:17,0
1661,IN10029104,PENDING,EDC00004,Midrange,Midrange - Storage and Virtualization,06MAY2016:10:54:35,223
1715,IN10029114,PENDING,NW000410,Conferencing Services,Conferencing - Videoconferencing,08NOV2016:08:59:04,0
1729,IN10029117,PENDING,DC000113,Midrange,Midrange,18MAY2016:14:10:08,1
1883,IN10029151,PENDING,NW000431,GC WAN,GC WAN,08APR2016:06:59:43,1
1982,IN10029170,PENDING,ESI00028,Other Activities,Other - Security,11APR2016:13:37:57,60
1995,IN10029174,PENDING,NW000427,Email,Email,11APR2016:14:34:21,0
2083,IN10029193,PENDING,ESI00011,Other Activities,Other - Service Management,11APR2016:11:48:13,6
2084,IN10029193,PENDING,ENT00007,Mobile Devices,Mobile Devices,11APR2016:12:16:12,0
2243,IN10029227,PENDING,NW000405,Intra-building Network Services,IBN - GC LAN,11APR2016:07:08:45,112
2244,IN10029227,PENDING,NW000431,GC WAN,GC WAN,20APR2016:12:04:40,37
2277,IN10029234,PENDING,DC000132,High-performance Computing,High-performance Computing,10APR2016:02:50:58,5
2484,IN10029279,PENDING,NW000420,Intra-building Network Services,Intra-building Network Services,11APR2016:11:15:55,0
2488,IN10029280,PENDING,DC000152,Middleware,Middleware,11APR2016:08:24:47,3
2541,IN10029292,PENDING,ESI00011,Other Activities,Other - Service Management,20MAY2016:13:21:25,65
2542,IN10029292,PENDING,ITS00325,Government of Canada Managed Security Service,Government of Canada Managed Security Service,20MAY2016:13:21:56,65
2572,IN10029298,PENDING,DC000115,Midrange,Midrange - Windows -X86,14APR2016:17:11:11,655
2777,IN10029349,PENDING,ENT00009,Mobile Devices,Mobile Devices,13APR2016:09:39:51,28
2816,IN10029359,PENDING,0,0,0,12APR2016:02:30:29,0
2819,IN10029359,PENDING,NW000417,GC WAN,GC WAN,12APR2016:08:57:28,9
2882,IN10029375,PENDING,NW000431,GC WAN,GC WAN,12APR2016:09:37:11,24
2960,IN10029388,PENDING,EDC00010,Directory Services,Directory Services,12APR2016:13:09:23,0
3012,IN10029399,PENDING,NW000414,Contact Centre,Contact Centre,12APR2016:14:43:17,20
3037,IN10029405,PENDING,NW000433,GC WAN,GC WAN,13APR2016:07:01:42,10
3091,IN10029416,PENDING,DC000152,Middleware,Middleware,14APR2016:15:58:10,67
3134,IN10029425,PENDING,ITS00312,Internal Credential Management (ICM),Internal Credential Management (ICM),15APR2016:13:49:03,39
3166,IN10029432,PENDING,DC000117,Storage,Storage,27APR2016:08:29:42,1030
3196,IN10029439,PENDING,NW000417,GC WAN,GC WAN,14APR2016:11:40:40,0
3358,IN10029477,PENDING,NW000431,GC WAN,GC WAN,13APR2016:10:04:51,0
3549,IN10029519,PENDING,NW000405,Intra-building Network Services,IBN - GC LAN,13APR2016:15:12:11,3
3550,IN10029519,PENDING,ESI00011,Other Activities,Other - Service Management,14APR2016:08:17:54,0
3621,IN10029534,PENDING,NW000412,Fixed Line,Fixed Line,22APR2016:12:36:46,136
3631,IN10029536,PENDING,NW000431,GC WAN,GC WAN,14APR2016:06:08:49,5
3639,IN10029537,PENDING,ITS00308,Other Activities,Other - Security,26OCT2016:08:19:16,1
3698,IN10029553,PENDING,DC000152,Middleware,Middleware,14APR2016:04:53:26,2
3775,IN10029570,PENDING,NW000407,Intra-building Network Services,IBN - GC LAN,21APR2016:07:49:07,0
3882,IN10029594,PENDING,EDC00098,Other Activities,Other - Security,14APR2016:12:08:04,0
3896,IN10029597,PENDING,ESI00011,Other Activities,Other - Service Management,14APR2016:13:12:35,139
4023,IN10029624,PENDING,DC000128,High-performance Computing,High-performance Computing,14APR2016:15:34:17,0
4037,IN10029626,PENDING,EDC00025,Data Centre Facilities Management,Facilities - Data Centre Facilities Power & Space,14APR2016:15:53:49,2
4052,IN10029630,PENDING,DC000117,Storage,Storage,15APR2016:17:21:24,0
4079,IN10029636,PENDING,DC000130,High-performance Computing,HPC - Interaction & Visualization,29APR2016:18:00:52,47
4122,IN10029644,PENDING,DC000133,High-performance Computing,High-performance Computing,14APR2016:23:04:31,8
4140,IN10029648,PENDING,NW000431,GC WAN,GC WAN,15APR2016:07:14:26,20
4184,IN10029660,PENDING,NW000431,GC WAN,GC WAN,15APR2016:11:49:23,0
4366,IN10029703,PENDING,0,0,0,15APR2016:19:22:40,0
4376,IN10029705,PENDING,NW000431,GC WAN,GC WAN,18APR2016:07:34:06,22
4414,IN10029713,PENDING,DC000128,High-performance Computing,High-performance Computing,16APR2016:01:57:10,0
4420,IN10029714,PENDING,DC000133,High-performance Computing,High-performance Computing,16APR2016:02:36:27,0
4464,IN10029727,PENDING,EDC00098,Other Activities,Other - Security,18APR2016:12:31:58,0
4645,IN10029771,PENDING,DC000141,Middleware,Middleware,18APR2016:10:29:06,20
4646,IN10029771,PENDING,SM000512,Other Activities,Other - Service Management,19APR2016:08:19:03,12
4647,IN10029771,PENDING,ESI00011,Other Activities,Other - Service Management,19APR2016:15:10:44,5
4676,IN10029778,PENDING,ESI00011,Other Activities,Other - Service Management,18APR2016:11:16:53,385
4677,IN10029778,PENDING,DC000110,Data Centre Facilities Management,Data Centre Facilities Management,06JUN2016:15:28:16,41
4683,IN10029779,PENDING,ESI00011,Other Activities,Other - Service Management,18APR2016:11:16:24,344
4758,IN10029792,PENDING,NW000431,GC WAN,GC WAN,18APR2016:15:33:37,0
4982,IN10029846,PENDING,DC000128,High-performance Computing,High-performance Computing,18APR2016:16:34:15,1
4990,IN10029850,PENDING,EDC00098,Other Activities,Other - Security,19APR2016:07:52:01,9
5028,IN10029856,PENDING,NW000431,GC WAN,GC WAN,19APR2016:07:02:46,7
5104,IN10029876,PENDING,NW000414,Contact Centre,Contact Centre,21APR2016:14:38:06,0
5120,IN10029879,PENDING,NW000437,Fixed Line,Fixed Line,04MAY2016:10:36:50,0
5156,IN10029886,PENDING,EDC00001,Midrange,Midrange - Storage and Virtualization,19APR2016:15:52:53,0
5230,IN10029912,PENDING,DC000128,High-performance Computing,High-performance Computing,19APR2016:15:53:13,2
5235,IN10029914,PENDING,NW000403,Intra-building Network Services,IBN - GC LAN,20APR2016:10:43:30,51
5256,IN10029921,PENDING,NW000431,GC WAN,GC WAN,20APR2016:07:05:18,2
5278,IN10029926,PENDING,EDC00062,Email,Email,19APR2016:20:50:22,0
