,ticket_nmbr,STATUS,assigned_group,PARENT_SERVICE,service,CHANGE_DATE,TIME_IN_STATUS_BY_OWNER_HRS
223,IN10028682,PENDINGCHG,NSD00010,Other Activities,Other - Telecom & Network,01APR2016:15:44:31,231
224,IN10028682,PENDINGCHG,ESI00011,Other Activities,Other - Service Management,04MAY2016:12:34:22,4
610,IN10028788,PENDINGCHG,ITS00307,Secure Remote Access,Secure Remote Access,04APR2016:00:40:04,7
898,IN10028870,PENDINGCHG,DC000132,High-performance Computing,High-performance Computing,22APR2016:07:19:02,101
2126,IN10029202,PENDINGCHG,DC000132,High-performance Computing,High-performance Computing,11APR2016:12:49:05,0
2366,IN10029255,PENDINGCHG,DC000163,Other Activities,Other - Service Management,11APR2016:07:10:04,0
2517,IN10029286,PENDINGCHG,DC000127,High-performance Computing,HPC -Big Data Exchange,11APR2016:09:26:44,0
2546,IN10029293,PENDINGCHG,0,0,0,11APR2016:09:50:38,0
3407,IN10029488,PENDINGCHG,NW000408,Fixed Line,Fixed - VoIP,21JUL2016:07:29:56,3
3776,IN10029570,PENDINGCHG,NW000407,Intra-building Network Services,IBN - GC LAN,21APR2016:07:49:41,0
4339,IN10029695,PENDINGCHG,EDC00006,Mobile Devices,Mobile - Enterprise Mobile Device Management (EMDM),26MAY2016:14:00:32,1173
4592,IN10029760,PENDINGCHG,ITS00322,Directory Services,Directory Services,10AUG2016:08:11:14,648
4593,IN10029760,PENDINGCHG,EDC00066,Other Activities,Other - Service Management,19SEP2016:07:18:26,483
4741,IN10029789,PENDINGCHG,ITS00332,Secure Remote Access,Secure Remote Access,18APR2016:13:42:34,0
4955,IN10029841,PENDINGCHG,DC000127,High-performance Computing,HPC -Big Data Exchange,19APR2016:16:23:57,33
5157,IN10029886,PENDINGCHG,EDC00001,Midrange,Midrange - Storage and Virtualization,19APR2016:15:55:03,0
5643,IN10030012,PENDINGCHG,NW000405,Intra-building Network Services,IBN - GC LAN,20APR2016:17:59:40,0
6955,IN10030316,PENDINGCHG,EDC00030,Other Activities,Other - Service Management,09MAY2016:13:22:11,3
7042,IN10030334,PENDINGCHG,DC000132,High-performance Computing,High-performance Computing,25APR2016:13:25:33,0
7067,IN10030339,PENDINGCHG,DC000130,High-performance Computing,HPC - Interaction & Visualization,26APR2016:11:07:55,12
7905,IN10030532,PENDINGCHG,SM000502,Other Activities,Other - Service Management,25MAY2016:11:56:57,0
8352,IN10030634,PENDINGCHG,0,0,0,28APR2016:16:20:45,0
9023,IN10030783,PENDINGCHG,ITS00309,Secure Remote Access,Secure Remote Access,02MAY2016:08:43:38,1
9293,IN10030841,PENDINGCHG,DC000163,Other Activities,Other - Service Management,02MAY2016:20:17:32,10
9716,IN10030927,PENDINGCHG,NW000431,GC WAN,GC WAN,05MAY2016:09:53:13,30
10922,IN10031200,PENDINGCHG,NW000405,Intra-building Network Services,IBN - GC LAN,09MAY2016:07:36:49,112
11246,IN10031264,PENDINGCHG,NW000408,Fixed Line,Fixed - VoIP,15JUN2016:07:33:46,0
12398,IN10031526,PENDINGCHG,DC000129,High-performance Computing,High-performance Computing,12MAY2016:14:07:54,0
12950,IN10031651,PENDINGCHG,DC000119,Other Activities,Other - Data Centre,18MAY2016:11:32:22,519
14515,IN10032023,PENDINGCHG,DC000127,High-performance Computing,HPC -Big Data Exchange,20MAY2016:09:32:16,46
14927,IN10032129,PENDINGCHG,DC000133,High-performance Computing,High-performance Computing,20MAY2016:13:26:48,27
15080,IN10032161,PENDINGCHG,DC000109,Data Centre Facilities Management,Data Centre Facilities Management,25MAY2016:09:06:30,21
15259,IN10032202,PENDINGCHG,ESI00026,Other Activities,Other - Internal Services & Strategy,25MAY2016:09:31:31,0
15465,IN10032253,PENDINGCHG,DC000127,High-performance Computing,HPC -Big Data Exchange,25MAY2016:16:02:13,16
15821,IN10032332,PENDINGCHG,NW000417,GC WAN,GC WAN,27MAY2016:07:10:32,1109
15958,IN10032362,PENDINGCHG,0,0,0,25MAY2016:09:51:33,0
16304,IN10032444,PENDINGCHG,DC000132,High-performance Computing,High-performance Computing,26MAY2016:09:47:40,19
16737,IN10032541,PENDINGCHG,DC000115,Midrange,Midrange - Windows -X86,30JUN2016:10:15:10,0
17270,IN10032665,PENDINGCHG,NDS00028,Intra-building Network Services,IBN - GC LAN,30MAY2016:15:19:10,14
19029,IN10033059,PENDINGCHG,DC000163,Other Activities,Other - Service Management,06JUN2016:00:21:08,0
19166,IN10033096,PENDINGCHG,ITS00306,Other Activities,Other - Security,13JUN2016:10:57:13,954
20848,IN10033506,PENDINGCHG,DC000115,Midrange,Midrange - Windows -X86,14JUN2016:14:26:20,34
21556,IN10033674,PENDINGCHG,NW000407,Intra-building Network Services,IBN - GC LAN,27JUN2016:09:16:35,3
24597,IN10034340,PENDINGCHG,NW000417,GC WAN,GC WAN,27JUN2016:23:02:04,27
24822,IN10034395,PENDINGCHG,NW000408,Fixed Line,Fixed - VoIP,29JUN2016:07:03:15,14
24924,IN10034431,PENDINGCHG,NW000405,Intra-building Network Services,IBN - GC LAN,21JUL2016:15:08:32,2
24927,IN10034431,PENDINGCHG,NW000431,GC WAN,GC WAN,30JUL2016:14:30:21,0
24987,IN10034446,PENDINGCHG,DC000104,Data Centre Facilities Management,Data Centre Facilities Management,29JUN2016:13:08:39,0
25393,IN10034542,PENDINGCHG,DC000132,High-performance Computing,High-performance Computing,04JUL2016:08:50:13,58
25488,IN10034560,PENDINGCHG,DC000127,High-performance Computing,HPC -Big Data Exchange,06JUL2016:17:36:01,436
26864,IN10034900,PENDINGCHG,DC000107,Data Centre Facilities Management,Data Centre Facilities Management,08JUL2016:07:21:52,1027
27153,IN10034974,PENDINGCHG,DC000113,Midrange,Midrange,08JUL2016:20:03:23,2
27154,IN10034974,PENDINGCHG,DC000155,Mainframe,Mainframe,08JUL2016:20:04:11,1503
27155,IN10034974,PENDINGCHG,DC000152,Middleware,Middleware,08JUL2016:21:31:15,1504
27156,IN10034974,PENDINGCHG,EDC00065,Other Activities,Other - Service Management,08JUL2016:22:57:08,1503
27157,IN10034974,PENDINGCHG,DC000140,Database,Database,08JUL2016:23:28:01,1503
27187,IN10034979,PENDINGCHG,EDC00002,Midrange,Midrange - Windows -X86,08JUL2016:21:02:19,0
28680,IN10035325,PENDINGCHG,EU000203,Storage,Storage - File,17JUL2016:20:22:31,11
29037,IN10035406,PENDINGCHG,NW000405,Intra-building Network Services,IBN - GC LAN,18JUL2016:09:54:54,2
29738,IN10035590,PENDINGCHG,NW000412,Fixed Line,Fixed Line,20JUL2016:09:54:13,13
30155,IN10035682,PENDINGCHG,NW000417,GC WAN,GC WAN,22JUL2016:10:53:33,84
30761,IN10035818,PENDINGCHG,DC000132,High-performance Computing,High-performance Computing,24JUL2016:22:17:56,0
32420,IN10036245,PENDINGCHG,NW000431,GC WAN,GC WAN,01AUG2016:08:30:21,5
32744,IN10036315,PENDINGCHG,NW000417,GC WAN,GC WAN,03AUG2016:09:42:15,19
33073,IN10036386,PENDINGCHG,ITS00306,Other Activities,Other - Security,21DEC2016:08:06:43,145
34334,IN10036665,PENDINGCHG,DC000163,Other Activities,Other - Service Management,08AUG2016:04:12:09,6
35512,IN10036909,PENDINGCHG,NW000405,Intra-building Network Services,IBN - GC LAN,15AUG2016:07:55:58,150
37102,IN10037255,PENDINGCHG,DC000129,High-performance Computing,High-performance Computing,16AUG2016:16:50:12,14
37103,IN10037255,PENDINGCHG,DC000127,High-performance Computing,HPC -Big Data Exchange,17AUG2016:15:35:01,5
39892,IN10037865,PENDINGCHG,ITS00306,Other Activities,Other - Security,21DEC2016:08:05:27,145
40350,IN10037979,PENDINGCHG,NW000405,Intra-building Network Services,IBN - GC LAN,14SEP2016:10:11:22,74
40616,IN10038040,PENDINGCHG,ITS00307,Secure Remote Access,Secure Remote Access,30AUG2016:09:45:33,6
42209,IN10038390,PENDINGCHG,NW000438,Intra-building Network Services,IBN - GC Wi-Fi,22SEP2016:10:37:42,75
42929,IN10038544,PENDINGCHG,ITS00308,Other Activities,Other - Security,16NOV2016:11:16:33,592
43643,IN10038701,PENDINGCHG,EU000203,Storage,Storage - File,15SEP2016:15:15:42,168
44744,IN10038938,PENDINGCHG,NW000404,Intra-building Network Services,IBN - Cabling - Install and Material,20SEP2016:15:24:31,193
44953,IN10038976,PENDINGCHG,NW000405,Intra-building Network Services,IBN - GC LAN,19SEP2016:10:39:36,235
45411,IN10039077,PENDINGCHG,DC000156,Midrange,Midrange - Windows -X86,18SEP2016:14:11:18,0
45914,IN10039182,PENDINGCHG,NW000429,Email,Email,07OCT2016:09:59:02,246
46003,IN10039200,PENDINGCHG,NW000429,Email,Email,07OCT2016:09:57:52,246
47144,IN10039448,PENDINGCHG,ESI00011,Other Activities,Other - Service Management,22SEP2016:15:44:30,138
