,ticket_nmbr,STATUS,assigned_group,PARENT_SERVICE,service,CHANGE_DATE,TIME_IN_STATUS_BY_OWNER_HRS
440,IN10028740,PENDINGCUS,EDC00066,Other Activities,Other - Service Management,14APR2016:11:33:07,362
475,IN10028749,PENDINGCUS,EDC00001,Midrange,Midrange - Storage and Virtualization,04APR2016:13:57:09,123
567,IN10028776,PENDINGCUS,NW000403,Intra-building Network Services,IBN - GC LAN,18APR2016:07:27:44,203
568,IN10028776,PENDINGCUS,ESI00011,Other Activities,Other - Service Management,20APR2016:07:26:32,183
573,IN10028777,PENDINGCUS,EU000202,Distributed Print,Distributed Print,05APR2016:14:01:02,3
668,IN10028809,PENDINGCUS,ENT00014,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,04APR2016:13:49:15,2
695,IN10028814,PENDINGCUS,ENT00014,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,04APR2016:13:41:15,2
804,IN10028848,PENDINGCUS,NW000427,Email,Email,29APR2016:09:52:53,0
849,IN10028859,PENDINGCUS,EDC00010,Directory Services,Directory Services,05APR2016:13:34:39,70
850,IN10028859,PENDINGCUS,EDC00003,Midrange,Midrange,08APR2016:11:15:06,42
979,IN10028893,PENDINGCUS,EDC00025,Data Centre Facilities Management,Facilities - Data Centre Facilities Power & Space,05APR2016:13:07:09,430
980,IN10028893,PENDINGCUS,ESI00011,Other Activities,Other - Service Management,05APR2016:13:08:32,430
1012,IN10028900,PENDINGCUS,NW000408,Fixed Line,Fixed - VoIP,05APR2016:12:52:39,4
1018,IN10028901,PENDINGCUS,ENT00009,Mobile Devices,Mobile Devices,08APR2016:12:57:50,17
1388,IN10028997,PENDINGCUS,ESI00028,Other Activities,Other - Security,01JUN2016:16:06:50,3
1632,IN10029094,PENDINGCUS,ESI00026,Other Activities,Other - Internal Services & Strategy,11APR2016:12:14:36,79
1685,IN10029109,PENDINGCUS,EDC00002,Midrange,Midrange - Windows -X86,07APR2016:14:46:23,4
1686,IN10029109,PENDINGCUS,ESI00028,Other Activities,Other - Security,07APR2016:15:34:59,3
1697,IN10029111,PENDINGCUS,ITS00309,Secure Remote Access,Secure Remote Access,11APR2016:09:19:50,44
1810,IN10029135,PENDINGCUS,DC000130,High-performance Computing,HPC - Interaction & Visualization,07APR2016:17:35:18,29
1863,IN10029147,PENDINGCUS,EDC00010,Directory Services,Directory Services,12APR2016:10:42:23,5
1894,IN10029153,PENDINGCUS,ESI00028,Other Activities,Other - Security,08APR2016:07:09:26,4
1962,IN10029165,PENDINGCUS,NW000445,Intra-building Network Services,IBN - GC LAN,05JAN2017:09:12:49,212
1998,IN10029174,PENDINGCUS,NW000427,Email,Email,29APR2016:09:20:21,0
2040,IN10029184,PENDINGCUS,NW000412,Fixed Line,Fixed Line,08APR2016:12:03:16,0
2090,IN10029194,PENDINGCUS,EU000202,Distributed Print,Distributed Print,12APR2016:18:09:30,14
2131,IN10029203,PENDINGCUS,EDC00001,Midrange,Midrange - Storage and Virtualization,13APR2016:13:46:24,237
2146,IN10029206,PENDINGCUS,NW000412,Fixed Line,Fixed Line,14APR2016:07:12:23,12
2231,IN10029224,PENDINGCUS,EDC00002,Midrange,Midrange - Windows -X86,25APR2016:07:56:01,61
2335,IN10029248,PENDINGCUS,EU000202,Distributed Print,Distributed Print,12APR2016:10:48:26,15
2397,IN10029261,PENDINGCUS,DC000119,Other Activities,Other - Data Centre,13APR2016:09:31:23,0
2431,IN10029267,PENDINGCUS,DC000117,Storage,Storage,18APR2016:16:10:25,36
2504,IN10029283,PENDINGCUS,NW000400,Intra-building Network Services,IBN - Data Centre Network,10MAY2016:08:14:43,111
2535,IN10029291,PENDINGCUS,EU000203,Storage,Storage - File,11APR2016:10:45:06,11
2632,IN10029311,PENDINGCUS,DC000127,High-performance Computing,HPC -Big Data Exchange,19APR2016:16:22:20,54
2638,IN10029312,PENDINGCUS,DC000127,High-performance Computing,HPC -Big Data Exchange,19APR2016:16:21:13,165
2680,IN10029323,PENDINGCUS,ESI00026,Other Activities,Other - Internal Services & Strategy,11APR2016:14:17:16,77
2697,IN10029328,PENDINGCUS,0,0,0,13APR2016:09:48:36,0
2796,IN10029353,PENDINGCUS,NW000410,Conferencing Services,Conferencing - Videoconferencing,12APR2016:09:35:42,0
2818,IN10029359,PENDINGCUS,NW000417,GC WAN,GC WAN,12APR2016:02:55:22,6
2925,IN10029383,PENDINGCUS,ESI00049,Other Activities,Other - Security,12APR2016:11:41:53,0
2942,IN10029385,PENDINGCUS,ITS00332,Secure Remote Access,Secure Remote Access,14APR2016:10:51:53,122
2966,IN10029389,PENDINGCUS,EDC00066,Other Activities,Other - Service Management,14APR2016:11:48:47,10
3104,IN10029419,PENDINGCUS,NW000412,Fixed Line,Fixed Line,12APR2016:16:42:19,26
3126,IN10029424,PENDINGCUS,ESI00028,Other Activities,Other - Security,13APR2016:07:59:56,17
3127,IN10029424,PENDINGCUS,EDC00004,Midrange,Midrange - Storage and Virtualization,14APR2016:12:32:00,2
3128,IN10029424,PENDINGCUS,EDC00002,Midrange,Midrange - Windows -X86,14APR2016:13:40:16,1
3135,IN10029425,PENDINGCUS,ITS00312,Internal Credential Management (ICM),Internal Credential Management (ICM),21APR2016:13:41:45,35
3143,IN10029426,PENDINGCUS,DC000115,Midrange,Midrange - Windows -X86,13APR2016:17:48:41,25
3180,IN10029436,PENDINGCUS,NW000417,GC WAN,GC WAN,12APR2016:19:55:42,2
3185,IN10029437,PENDINGCUS,NW000412,Fixed Line,Fixed Line,25APR2016:11:21:21,0
3190,IN10029438,PENDINGCUS,NW000412,Fixed Line,Fixed Line,29JUN2016:13:53:54,0
3198,IN10029439,PENDINGCUS,NW000417,GC WAN,GC WAN,14APR2016:11:50:40,0
3203,IN10029440,PENDINGCUS,NW000412,Fixed Line,Fixed Line,28JUN2016:10:09:55,0
3208,IN10029441,PENDINGCUS,NW000412,Fixed Line,Fixed Line,09JUN2016:13:34:12,484
3209,IN10029441,PENDINGCUS,NW000414,Contact Centre,Contact Centre,10JUN2016:10:02:11,558
3210,IN10029441,PENDINGCUS,ESI00011,Other Activities,Other - Service Management,13JUN2016:08:25:05,550
3228,IN10029444,PENDINGCUS,NW000412,Fixed Line,Fixed Line,22APR2016:10:46:14,93
3339,IN10029467,PENDINGCUS,ESI00011,Other Activities,Other - Service Management,06JUN2016:13:55:43,76
