,ticket_nmbr,STATUS,assigned_group,PARENT_SERVICE,service,CHANGE_DATE,TIME_IN_STATUS_BY_OWNER_HRS
68,IN10028640,PENDINGREV,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,04NOV2016:14:47:36,12
133,IN10028659,PENDINGREV,ENT00009,Mobile Devices,Mobile Devices,07NOV2016:09:59:41,317
383,IN10028728,PENDINGREV,DC000113,Midrange,Midrange,07NOV2016:10:12:34,103
402,IN10028732,PENDINGREV,EDC00026,Data Centre Facilities Management,Facilities - Data Centre Facilities Power & Space,04APR2016:15:14:26,0
446,IN10028741,PENDINGREV,EDC00026,Data Centre Facilities Management,Facilities - Data Centre Facilities Power & Space,04APR2016:15:26:34,0
452,IN10028742,PENDINGREV,EDC00098,Other Activities,Other - Security,07APR2016:08:26:53,1062
663,IN10028805,PENDINGREV,ITS00309,Secure Remote Access,Secure Remote Access,07NOV2016:10:18:00,91
673,IN10028810,PENDINGREV,NW000408,Fixed Line,Fixed - VoIP,04APR2016:12:26:22,0
1132,IN10028927,PENDINGREV,NW000440,Fixed Line,Fixed - PBX,08NOV2016:09:37:47,134
1213,IN10028951,PENDINGREV,DC000132,High-performance Computing,High-performance Computing,11NOV2016:14:22:58,225
1252,IN10028960,PENDINGREV,NW000408,Fixed Line,Fixed - VoIP,21JUL2016:07:32:07,7
1474,IN10029018,PENDINGREV,NW000403,Intra-building Network Services,IBN - GC LAN,07NOV2016:10:40:04,14
1504,IN10029023,PENDINGREV,NW000431,GC WAN,GC WAN,07NOV2016:13:08:22,0
1513,IN10029024,PENDINGREV,DC000115,Midrange,Midrange - Windows -X86,07NOV2016:13:08:35,121
1713,IN10029114,PENDINGREV,NW000410,Conferencing Services,Conferencing - Videoconferencing,07NOV2016:10:50:24,8
1913,IN10029156,PENDINGREV,NW000408,Fixed Line,Fixed - VoIP,08APR2016:09:17:22,23
1961,IN10029165,PENDINGREV,NW000445,Intra-building Network Services,IBN - GC LAN,07NOV2016:10:55:20,388
2049,IN10029185,PENDINGREV,DC000141,Middleware,Middleware,07NOV2016:10:59:12,0
2050,IN10029185,PENDINGREV,ESI00011,Other Activities,Other - Service Management,08NOV2016:08:43:56,4
2055,IN10029186,PENDINGREV,NW000408,Fixed Line,Fixed - VoIP,08APR2016:12:33:28,17
2164,IN10029210,PENDINGREV,DC000117,Storage,Storage,28APR2016:08:43:24,92
2186,IN10029215,PENDINGREV,DC000115,Midrange,Midrange - Windows -X86,07NOV2016:11:39:14,498
2187,IN10029215,PENDINGREV,ESI00011,Other Activities,Other - Service Management,10JAN2017:16:26:57,73
2407,IN10029262,PENDINGREV,ITS00307,Secure Remote Access,Secure Remote Access,07NOV2016:11:41:58,2
2765,IN10029347,PENDINGREV,NW000436,Fixed Line,Fixed Line,07NOV2016:11:45:35,100
2947,IN10029385,PENDINGREV,ITS00306,Other Activities,Other - Security,07NOV2016:11:52:27,1291
2973,IN10029390,PENDINGREV,ENT00042,Intra-building Network Services,IBN - Data Centre Network,13APR2016:10:04:25,14
2974,IN10029390,PENDINGREV,NW000430,Intra-building Network Services,IBN - Data Centre Network,14APR2016:11:21:38,39
2975,IN10029390,PENDINGREV,EDC00096,Midrange,Midrange,14APR2016:11:22:42,39
3266,IN10029451,PENDINGREV,DC000132,High-performance Computing,High-performance Computing,11NOV2016:14:40:50,43
3693,IN10029552,PENDINGREV,NW000408,Fixed Line,Fixed - VoIP,14APR2016:07:57:10,2
3929,IN10029604,PENDINGREV,NW000404,Intra-building Network Services,IBN - Cabling - Install and Material,16MAY2016:16:08:50,122
3940,IN10029606,PENDINGREV,DC000127,High-performance Computing,HPC -Big Data Exchange,22APR2016:10:00:24,16
4016,IN10029620,PENDINGREV,ITS00306,Other Activities,Other - Security,07NOV2016:11:57:09,16
4090,IN10029638,PENDINGREV,NW000440,Fixed Line,Fixed - PBX,15APR2016:07:24:58,646
