,ticket_nmbr,STATUS,assigned_group,PARENT_SERVICE,service,CHANGE_DATE,TIME_IN_STATUS_BY_OWNER_HRS
287,IN10028699,PENDINGVEN,ITS00309,Secure Remote Access,Secure Remote Access,04APR2016:13:50:51,6
408,IN10028733,PENDINGVEN,DC000163,Other Activities,Other - Service Management,02APR2016:12:44:26,50
638,IN10028799,PENDINGVEN,NW000431,GC WAN,GC WAN,04APR2016:08:25:54,0
674,IN10028810,PENDINGVEN,NW000408,Fixed Line,Fixed - VoIP,04APR2016:12:54:55,16
685,IN10028812,PENDINGVEN,NW000431,GC WAN,GC WAN,04APR2016:13:06:52,4
897,IN10028870,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,06APR2016:22:10:30,91
1133,IN10028927,PENDINGVEN,NW000440,Fixed Line,Fixed - PBX,28NOV2016:13:48:39,0
1212,IN10028951,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,06APR2016:15:10:07,1521
1299,IN10028975,PENDINGVEN,EDC00098,Other Activities,Other - Security,07APR2016:08:20:56,1027
1416,IN10029002,PENDINGVEN,ITS00308,Other Activities,Other - Security,07APR2016:15:12:43,0
1721,IN10029115,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,11APR2016:08:06:52,70
2020,IN10029179,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,11APR2016:09:16:35,68
2035,IN10029183,PENDINGVEN,NW000417,GC WAN,GC WAN,08APR2016:16:20:42,5
2103,IN10029196,PENDINGVEN,DC000127,High-performance Computing,HPC -Big Data Exchange,19APR2016:16:23:00,970
2145,IN10029206,PENDINGVEN,NW000412,Fixed Line,Fixed Line,12APR2016:12:47:45,14
2467,IN10029276,PENDINGVEN,ESI00011,Other Activities,Other - Service Management,30APR2016:21:59:29,152
2468,IN10029276,PENDINGVEN,NW000429,Email,Email,23MAY2016:14:07:14,2
2778,IN10029349,PENDINGVEN,ENT00009,Mobile Devices,Mobile Devices,18APR2016:10:46:42,7
2883,IN10029375,PENDINGVEN,NW000431,GC WAN,GC WAN,14APR2016:14:25:16,22
2914,IN10029381,PENDINGVEN,EDC00062,Email,Email,12APR2016:16:30:25,98
2943,IN10029385,PENDINGVEN,ITS00332,Secure Remote Access,Secure Remote Access,02MAY2016:13:30:25,2600
2944,IN10029385,PENDINGVEN,ESI00011,Other Activities,Other - Service Management,04MAY2016:07:44:34,0
3044,IN10029406,PENDINGVEN,ESI00011,Other Activities,Other - Service Management,14APR2016:10:51:47,43
3045,IN10029406,PENDINGVEN,NW000429,Email,Email,14APR2016:11:33:46,42
3144,IN10029426,PENDINGVEN,DC000115,Midrange,Midrange - Windows -X86,18APR2016:12:38:47,59
3179,IN10029436,PENDINGVEN,NW000417,GC WAN,GC WAN,12APR2016:19:02:50,0
3211,IN10029441,PENDINGVEN,NW000412,Fixed Line,Fixed Line,15JUN2016:13:54:32,80
3264,IN10029451,PENDINGVEN,DC000163,Other Activities,Other - Service Management,14APR2016:19:47:58,1503
3265,IN10029451,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,16APR2016:22:16:09,1450
3271,IN10029452,PENDINGVEN,DC000163,Other Activities,Other - Service Management,13APR2016:02:22:26,9
3580,IN10029526,PENDINGVEN,NW000412,Fixed Line,Fixed Line,15APR2016:09:08:25,36
3615,IN10029533,PENDINGVEN,NW000412,Fixed Line,Fixed Line,15APR2016:14:09:49,96
4030,IN10029625,PENDINGVEN,ENT00009,Mobile Devices,Mobile Devices,19APR2016:10:47:49,15
4031,IN10029625,PENDINGVEN,NW000427,Email,Email,19APR2016:10:48:06,15
4032,IN10029625,PENDINGVEN,ENT00007,Mobile Devices,Mobile Devices,19APR2016:10:58:59,15
4107,IN10029641,PENDINGVEN,DC000133,High-performance Computing,High-performance Computing,18APR2016:10:39:11,396
4124,IN10029644,PENDINGVEN,DC000133,High-performance Computing,High-performance Computing,18APR2016:10:42:34,396
4421,IN10029714,PENDINGVEN,DC000133,High-performance Computing,High-performance Computing,16APR2016:02:36:42,219
4516,IN10029737,PENDINGVEN,NW000417,GC WAN,GC WAN,18APR2016:13:40:17,38
4591,IN10029760,PENDINGVEN,ITS00322,Directory Services,Directory Services,18APR2016:08:07:32,800
4705,IN10029783,PENDINGVEN,ESI00011,Other Activities,Other - Service Management,29JUN2016:13:22:58,25
4706,IN10029783,PENDINGVEN,ITS00325,Government of Canada Managed Security Service,Government of Canada Managed Security Service,29JUN2016:14:10:27,24
4740,IN10029789,PENDINGVEN,ITS00332,Secure Remote Access,Secure Remote Access,18APR2016:08:21:55,5
