,ticket_nmbr,STATUS,assigned_group,PARENT_SERVICE,service,CHANGE_DATE,TIME_IN_STATUS_BY_OWNER_HRS
8395,IN10030642,SLAHOLD,ESI00011,Other Activities,Other - Service Management,04JAN2017:08:10:22,9
10660,IN10031129,SLAHOLD,NW000403,Intra-building Network Services,IBN - GC LAN,30MAY2017:17:36:28,194
10661,IN10031129,SLAHOLD,NW000407,Intra-building Network Services,IBN - GC LAN,22JUN2017:14:00:21,27
10662,IN10031129,SLAHOLD,NW000405,Intra-building Network Services,IBN - GC LAN,23JUN2017:08:31:20,22
10663,IN10031129,SLAHOLD,ESI00011,Other Activities,Other - Service Management,23JUN2017:08:49:53,22
10664,IN10031129,SLAHOLD,SM000542,Other Activities,Other - Service Management,23JUN2017:14:54:12,16
24086,IN10034240,SLAHOLD,DC000141,Middleware,Middleware,04JUL2017:13:34:12,118
33946,IN10036581,SLAHOLD,NW000403,Intra-building Network Services,IBN - GC LAN,15DEC2016:18:57:19,44
38363,IN10037522,SLAHOLD,NW000403,Intra-building Network Services,IBN - GC LAN,15MAR2017:14:06:53,0
42933,IN10038544,SLAHOLD,ITS00308,Other Activities,Other - Security,07APR2017:16:30:08,154
45370,IN10039068,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,12JAN2017:14:32:56,0
46753,IN10039367,SLAHOLD,NW000440,Fixed Line,Fixed - PBX,06MAR2017:19:59:07,473
47555,IN10039543,SLAHOLD,NW000417,GC WAN,GC WAN,24JAN2017:14:50:28,0
47822,IN10039602,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,05JAN2017:12:45:59,90
47827,IN10039602,SLAHOLD,DC000202,Midrange,Midrange - Windows -X86,19SEP2018:09:49:40,0
47831,IN10039603,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,05JAN2017:09:22:11,1735
47835,IN10039603,SLAHOLD,DC000202,Midrange,Midrange - Windows -X86,15SEP2017:09:00:31,275
47884,IN10039612,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,05JAN2017:12:43:22,90
47891,IN10039612,SLAHOLD,DC000202,Midrange,Midrange - Windows -X86,19SEP2018:09:44:06,0
50124,IN10040122,SLAHOLD,DC000119,Other Activities,Other - Data Centre,05JUN2017:14:39:19,856
50692,IN10040263,SLAHOLD,DC000132,High-performance Computing,High-performance Computing,09MAY2017:10:17:52,637
52638,IN10040690,SLAHOLD,NW000403,Intra-building Network Services,IBN - GC LAN,01FEB2017:14:12:11,720
53010,IN10040772,SLAHOLD,NW000403,Intra-building Network Services,IBN - GC LAN,08MAR2017:13:14:21,165
53015,IN10040772,SLAHOLD,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,12OCT2017:10:40:22,1457
53410,IN10040889,SLAHOLD,NW000431,GC WAN,GC WAN,11JAN2017:16:02:25,290
54354,IN10041125,SLAHOLD,NW000430,Intra-building Network Services,IBN - Data Centre Network,05DEC2016:13:58:01,33
56619,IN10041648,SLAHOLD,DC000127,High-performance Computing,HPC -Big Data Exchange,03AUG2017:13:00:01,0
56691,IN10041661,SLAHOLD,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,16MAY2017:09:31:02,2995
56693,IN10041661,SLAHOLD,NW000453,Intra-building Network Services,IBN - GC LAN,19JUN2018:08:14:08,32
57524,IN10041855,SLAHOLD,DC000117,Storage,Storage,12JAN2017:17:31:43,2955
57668,IN10041911,SLAHOLD,SM000501,Other Activities,Other - Service Management,12JAN2017:17:32:29,92
57711,IN10041921,SLAHOLD,NW000417,GC WAN,GC WAN,12JAN2017:17:29:58,295
58311,IN10042055,SLAHOLD,NW000403,Intra-building Network Services,IBN - GC LAN,12JAN2017:17:33:38,1397
58425,IN10042080,SLAHOLD,ENT00009,Mobile Devices,Mobile Devices,12JAN2017:17:34:24,46
58652,IN10042127,SLAHOLD,DC000113,Midrange,Midrange,12JAN2017:17:35:28,334
58827,IN10042169,SLAHOLD,NW000404,Intra-building Network Services,IBN - Cabling - Install and Material,12JAN2017:17:37:14,712
59180,IN10042245,SLAHOLD,ESI00026,Other Activities,Other - Internal Services & Strategy,12JAN2017:18:18:59,27
59375,IN10042292,SLAHOLD,NW000417,GC WAN,GC WAN,04JAN2017:18:17:16,0
59412,IN10042299,SLAHOLD,NW000419,Satellite,Satellite,12JAN2017:18:32:21,565
59413,IN10042299,SLAHOLD,ESI00011,Other Activities,Other - Service Management,01MAR2017:10:43:18,10
59571,IN10042336,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,12JAN2017:18:33:01,26
59582,IN10042337,SLAHOLD,ESI00011,Other Activities,Other - Service Management,06JAN2017:07:49:23,14
59615,IN10042344,SLAHOLD,DC000129,High-performance Computing,High-performance Computing,12JAN2017:18:33:55,516
60128,IN10042461,SLAHOLD,NW000412,Fixed Line,Fixed Line,12JAN2017:18:35:30,584
61408,IN10042761,SLAHOLD,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,12JAN2017:18:37:33,46
61409,IN10042761,SLAHOLD,DC000128,High-performance Computing,High-performance Computing,17JAN2017:13:49:16,20
61430,IN10042764,SLAHOLD,NW000414,Contact Centre,Contact Centre,12JAN2017:18:38:15,327
61501,IN10042781,SLAHOLD,NW000403,Intra-building Network Services,IBN - GC LAN,12JAN2017:18:39:32,105
61759,IN10042847,SLAHOLD,NW000445,Intra-building Network Services,IBN - GC LAN,12JAN2017:18:40:51,378
61909,IN10042877,SLAHOLD,NW000405,Intra-building Network Services,IBN - GC LAN,12JAN2017:18:43:25,18
61958,IN10042886,SLAHOLD,NW000429,Email,Email,12JAN2017:18:46:01,453
61984,IN10042889,SLAHOLD,NW000414,Contact Centre,Contact Centre,12JAN2017:18:46:57,585
62123,IN10042920,SLAHOLD,ENT00009,Mobile Devices,Mobile Devices,12JAN2017:18:47:32,80
62192,IN10042936,SLAHOLD,EDC00004,Midrange,Midrange - Storage and Virtualization,05JAN2017:09:43:37,2193
62193,IN10042936,SLAHOLD,DC000135,Storage,Storage,05JUN2017:10:10:01,1152
62361,IN10042976,SLAHOLD,DC000130,High-performance Computing,HPC - Interaction & Visualization,12JAN2017:18:48:39,330
62686,IN10043055,SLAHOLD,NW000417,GC WAN,GC WAN,12JAN2017:18:49:32,17
62974,IN10043123,SLAHOLD,EU000203,Storage,Storage - File,12JAN2017:18:50:08,563
63061,IN10043145,SLAHOLD,ESI00011,Other Activities,Other - Service Management,07DEC2016:12:42:23,175
63062,IN10043145,SLAHOLD,EDC00006,Mobile Devices,Mobile - Enterprise Mobile Device Management (EMDM),27DEC2016:14:38:55,104
63102,IN10043153,SLAHOLD,NW000404,Intra-building Network Services,IBN - Cabling - Install and Material,12JAN2017:18:50:43,803
63103,IN10043153,SLAHOLD,NW000412,Fixed Line,Fixed Line,26JAN2017:09:42:49,80
63118,IN10043153,SLAHOLD,NW000440,Fixed Line,Fixed - PBX,27JUN2017:10:32:32,200
63392,IN10043212,SLAHOLD,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,10JAN2017:23:46:48,537
63393,IN10043212,SLAHOLD,NW000452,Intra-building Network Services,IBN - GC LAN,10JAN2017:23:57:33,537
63625,IN10043261,SLAHOLD,NW000417,GC WAN,GC WAN,12JAN2017:18:52:03,117
63650,IN10043267,SLAHOLD,ITS00326,Other Activities,Other - Security,12JAN2017:18:52:41,56
63750,IN10043291,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,12JAN2017:18:54:02,177
63787,IN10043298,SLAHOLD,NW000438,Intra-building Network Services,IBN - GC Wi-Fi,12JAN2017:18:55:15,513
63797,IN10043300,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,12JAN2017:18:55:53,363
63798,IN10043300,SLAHOLD,ESI00011,Other Activities,Other - Service Management,24FEB2017:10:32:31,60
63819,IN10043305,SLAHOLD,ITS00326,Other Activities,Other - Security,12JAN2017:18:56:28,101
64006,IN10043352,SLAHOLD,DC000113,Midrange,Midrange,12JAN2017:18:57:31,433
64577,IN10043472,SLAHOLD,ESI00011,Other Activities,Other - Service Management,12JAN2017:18:58:46,68
65091,IN10043596,SLAHOLD,NW000410,Conferencing Services,Conferencing - Videoconferencing,05DEC2016:14:20:18,56
65497,IN10043689,SLAHOLD,NW000403,Intra-building Network Services,IBN - GC LAN,12JAN2017:18:59:35,105
65628,IN10043723,SLAHOLD,NW000405,Intra-building Network Services,IBN - GC LAN,13DEC2016:12:45:24,47
65758,IN10043749,SLAHOLD,ITS00332,Secure Remote Access,Secure Remote Access,06DEC2016:13:55:04,588
65759,IN10043749,SLAHOLD,ESI00011,Other Activities,Other - Service Management,28DEC2016:12:24:38,440
65760,IN10043749,SLAHOLD,ITS00307,Secure Remote Access,Secure Remote Access,30DEC2016:15:03:20,427
65761,IN10043749,SLAHOLD,ESI00028,Other Activities,Other - Security,05JAN2017:09:10:34,403
65883,IN10043775,SLAHOLD,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,06DEC2016:09:32:58,39
66097,IN10043832,SLAHOLD,NW000417,GC WAN,GC WAN,12JAN2017:19:00:48,282
66159,IN10043844,SLAHOLD,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,06DEC2016:09:28:05,1
66326,IN10043886,SLAHOLD,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,21DEC2016:13:08:27,1
66333,IN10043887,SLAHOLD,NW000433,GC WAN,GC WAN,20DEC2016:07:21:59,234
66334,IN10043887,SLAHOLD,NW000460,GC WAN,GC WAN,29DEC2016:13:43:04,0
66404,IN10043901,SLAHOLD,0,0,0,12JAN2017:19:02:37,0
66550,IN10043931,SLAHOLD,DC000130,High-performance Computing,HPC - Interaction & Visualization,05DEC2016:16:28:57,3
66665,IN10043957,SLAHOLD,NW000431,GC WAN,GC WAN,05DEC2016:11:18:32,0
66688,IN10043962,SLAHOLD,NW000449,Intra-building Network Services,IBN - GC LAN,06DEC2016:15:03:49,363
66689,IN10043962,SLAHOLD,NW000453,Intra-building Network Services,IBN - GC LAN,12JAN2017:14:46:24,124
66690,IN10043962,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,16JAN2017:09:28:08,109
66749,IN10043976,SLAHOLD,DC000107,Data Centre Facilities Management,Data Centre Facilities Management,05JAN2017:19:58:34,107
66800,IN10043986,SLAHOLD,NW000401,Intra-building Network Services,IBN - Data Centre Network,05JAN2017:19:52:05,11
66811,IN10043988,SLAHOLD,EDC00019,Middleware,Middleware,05JAN2017:19:44:56,3
66893,IN10044004,SLAHOLD,ITS00327,Other Activities,Other - Security,05JAN2017:19:34:53,128
66919,IN10044009,SLAHOLD,ITS00327,Other Activities,Other - Security,05JAN2017:19:31:22,128
66998,IN10044025,SLAHOLD,NW000405,Intra-building Network Services,IBN - GC LAN,13JUN2017:08:22:45,341
